fallacies.df.Topic;fallacies.df.Intended.Fallacy;fallacies.df.Text;Eric;Pieter;Murilo
Should we all home school our kids?;No Fallacy;Home school provides a better education then under funded public schools.;;;
Should we all home school our kids?;No Fallacy;This would cause significant disadvantages for children from non-academic families.;;;
Should we all home school our kids?;No Fallacy;It is best to home school our kids.;;;
Should we all home school our kids?;No Fallacy;In modern jobs, homeoffice is already the standard, because the workers are more productive at home. Why shouldnt this be better for kids as well?;;;
Should we all home school our kids?;No Fallacy;Kids need to go to a proper school and home schooling harms them.;;;
Should we all home school our kids?;No Fallacy;No we should not.;;;
Should we all home school our kids?;No Fallacy;Home schooling has many benefits and therefore should be the first choice for the parents.;;;
Should we allow animal testing for medical purposes?;No Fallacy;better testing new medical products on animals than on humans;;;
Should we allow animal testing for medical purposes?;No Fallacy;For a first steps in basic research, animal testing for medical reasons is more efficient than human testing.;;;
Should we allow animal testing for medical purposes?;No Fallacy;Yes we should do it.;;;
Should we allow animal testing for medical purposes?;No Fallacy;We should allow it;;;
Should we allow animal testing for medical purposes?;No Fallacy;We should allow animal testing for medical purposes.;;;
Should we allow animal testing for medical purposes?;No Fallacy;yes;;;
Should we allow animal testing for medical purposes?;No Fallacy;It allows to get useful data for human research;;;
Should we allow animal testing for medical purposes?;No Fallacy;Yes;;;
Should we allow animal testing for medical purposes?;No Fallacy;Animal lives are less important than human lives;;;
Should we allow animal testing for medical purposes?;No Fallacy;It is against moral principles to torture or kill animals who feel pain.;;;
Should we allow animal testing for medical purposes?;No Fallacy;Testing animals should be approved.;;;
Should we allow animal testing for medical purposes?;No Fallacy;Yes;;;
Should we allow animal testing for medical purposes?;No Fallacy;Animals do not have souls;;;
Should we allow animal testing for medical purposes?;No Fallacy;No;;;
Should we allow animal testing for medical purposes?;No Fallacy;If a serious desease can be cured with the help of animal testing, we shpuldn't hesitate.;;;
Should we allow animal testing for medical purposes?;No Fallacy;Tests can be also conducted by numerical simulations.;;;
Should we allow animal testing for medical purposes?;No Fallacy;Animal testing is something totally unethical and should be banned.;;;
Should we allow animal testing for medical purposes?;No Fallacy;We should use animals as it is necessary to test.;;;
Should we allow animal testing for medical purposes?;No Fallacy;We need animal testing, even tough it is horrible for the animals.;;;
Should we allow animal testing for medical purposes?;Ad Hominem;tessttetttetete;;;
Should we allow animal testing for medical purposes?;No Fallacy;Claim;;;
Should we allow animal testing for medical purposes?;No Fallacy;Animal testing is horrible.;;;
Should we allow animal testing for medical purposes?;No Fallacy;Animal testing can have serious impacts on researching new technologies for curing diseases in humans.;;;
Should we allow animal testing for medical purposes?;No Fallacy;We should allow it.;;;
Should we allow animal testing for medical purposes?;No Fallacy;Yes we should allow but without harming the animals !;;;
Should we allow animal testing for medical purposes?;No Fallacy;It is the only way to get reliable results;;;
Should we allow animal testing for medical purposes?;Ad Hominem;You are an animal hater, go hurt some puppies!;;;
Should we allow animal testing for medical purposes?;No Fallacy;Humans are no Animals;;;
Should we allow animal testing for medical purposes?;No Fallacy;Animal testing for medical purposes should be allowed.;;;
Should we allow animal testing for medical purposes?;No Fallacy;It has to be balanced, but for live saving drugs It should be allowed on non-endangered animal species.;;;
Should we allow animal testing for medical purposes?;No Fallacy;Animal testing helps to improve medical care for everybody.;;;
Should we allow animal testing for medical purposes?;No Fallacy;Although any suffering of living creatures should be avoided, I guess it's commonly accepted by the society that medical purposes testing has more benefits than harms.;;;
Should we allow animal testing for medical purposes?;No Fallacy;It helps to sacrifice animals.;;;
Should we allow animal testing for medical purposes?;No Fallacy;Of course we need it!;;;
Should we allow animal testing for medical purposes?;No Fallacy;We shouldn't;;;
Should we allow animal testing for medical purposes?;No Fallacy;Animal testing leads to medicaments with fewer harmful side effects.;;;
Should we allow animal testing for medical purposes?;No Fallacy;We should allow animal testing!;;;
Should we allow animal testing for medical purposes?;No Fallacy;Animal testing is a good alternative to human testing.;;;
Should we allow animal testing for medical purposes?;No Fallacy;a a;;;
Should we allow animal testing for medical purposes?;No Fallacy;Animal testing helps saving lifes.;;;
Should we allow animal testing for medical purposes?;No Fallacy;Although it is a barbarian act, we need animal testing;;;
Should we allow animal testing for medical purposes?;No Fallacy;Animal testing for medical purposes should be allowed.;;;
The greek exit from the EU is a necessary step.;No Fallacy;I really don't think so;;;
The greek exit from the EU is a necessary step.;No Fallacy;Greek should leave Eurozone, because the consequences will be minimal for the Eurozone. The consequences will be hard for Greeks, but they got to this situation themselves.;;;
The greek exit from the EU is a necessary step.;No Fallacy;Greece should leave the Eurozone because Europe needs to keep a responsible fiscal politics.;;;
The greek exit from the EU is a necessary step.;No Fallacy;Greece needs to stay in the EU for unity of Europe.;;;
The greek exit from the EU is a necessary step.;No Fallacy;tesforArgumentforAr;;;
The greek exit from the EU is a necessary step.;No Fallacy;Greece does not deserve another financial support from Germany - if you compare the social system (retire age, retire money) in Germany and Greece, it's just ridiculous. They are responsible for the current state and should leave Eurozone.;;;
The greek exit from the EU is a necessary step.;Ad Hominem;You are a crimina. So you should exit this discussion.;;;
The greek exit from the EU is a necessary step.;No Fallacy;Economic experts say that further austerity measures will not be beneficial, so we should help Greece with new investment to keep it  in the Eurozone.;;;
The greek exit from the EU is a necessary step.;No Fallacy;The EU would be better adapting so that Greece is able to function well while staying i the country.;;;
The greek exit from the EU is a necessary step.;No Fallacy;But every country that agreed to be in the EU agreed to an obligation to support other EU countries.;;;
The greek exit from the EU is a necessary step.;No Fallacy;No. Greece is one of the countries, that, in its history, has contributed to an european union the most. Throwing this country out of it, would therefore destroy confidence in this community, the most.;;;
Will flying cars ever become a reality?;No Fallacy;Yes, if the scientifical progress stays the same as the last 200 years.;;;
Will flying cars ever become a reality?;Ad Hominem;of course it all starts with a dream and a few dollars.;;;
Will flying cars ever become a reality?;No Fallacy;Of course, with unlimited amount of time everything is possible. We came from fire to rockets in just some thousand years.;;;
Will flying cars ever become a reality?;Ad Hominem;After hogans heroes bob crane had his skull bashed in by a friend video taping having rough sex;;;
Will flying cars ever become a reality?;No Fallacy;That flying cars will become a reality;;;
Will flying cars ever become a reality?;No Fallacy;No way, flying cars will never become a reality.;;;
Will flying cars ever become a reality?;Ad Hominem;Even if that were the case (which it sure isn't) you would be the very, very last person be informed that we can finally use flying cars. You know, just to save the world from your dumbass crashing into everything and everyone like you usually do.;;;
Will flying cars ever become a reality?;No Fallacy;Flying cars are the consequent step forward in mobility technology.;;;
Will flying cars ever become a reality?;No Fallacy;They won't.;;;
Will flying cars ever become a reality?;No Fallacy;Flying cars will become reality someday.;;;
Will flying cars ever become a reality?;Ad Hominem;Flying cars will become reality because I have an technology degree and I say so.;;;
Will flying cars ever become a reality?;No Fallacy;The technical expertise is there, having space ships, airplanes etc., and sooner or later humans have alwas used technology to their advantage and to make things more comfortable/easier for them.;;;
Will flying cars ever become a reality?;No Fallacy;Yes, companies are already working on creating cars which are able to fly quite successfully. Thus flying cars will become reality in the near future.;;;
Will flying cars ever become a reality?;Ad Hominem;Too many slow imbeciles would be crashing into each other due to their inferior reflexes and intelligence. For as long as this planet is full of idiots like you we could never responsibly allow flying cars to exist, even if we had the technology. It's a pity, really.;;;
Will flying cars ever become a reality?;No Fallacy;test your own doc;;;
Will flying cars ever become a reality?;No Fallacy;Of course they will.;;;
